"","Date","Temperature","Celsius"
"1",1985-09-14,"ATMP",8.5
"2",1985-09-15,"ATMP",6.1
"3",1985-09-16,"ATMP",7.5
"4",1985-09-17,"ATMP",7.2
"5",1985-09-18,"ATMP",7.6
"6",1985-09-19,"ATMP",6.9
"7",1985-09-20,"ATMP",8.4
"8",1985-09-21,"ATMP",7.9
"9",1985-09-22,"ATMP",6.7
"10",1985-09-23,"ATMP",6.1
"11",1985-09-24,"ATMP",8.2
"12",1985-09-25,"ATMP",7.9
"13",1985-09-26,"ATMP",8
"14",1985-09-27,"ATMP",8
"15",1985-09-28,"ATMP",5.8
"16",1985-09-29,"ATMP",7
"17",1985-09-30,"ATMP",6.7
"18",1985-10-01,"ATMP",5.2
"19",1985-10-02,"ATMP",4.4
"20",1985-10-03,"ATMP",3.2
"21",1985-10-04,"ATMP",6.2
"22",1985-10-05,"ATMP",8.2
"23",1985-10-06,"ATMP",7.8
"24",1985-10-07,"ATMP",7.9
"25",1985-10-08,"ATMP",7.1
"26",1985-10-09,"ATMP",5.3
"27",1985-10-10,"ATMP",5.3
"28",1985-10-11,"ATMP",5.4
"29",1985-10-12,"ATMP",5.1
"30",1985-10-13,"ATMP",5
"31",1985-10-14,"ATMP",7.6
"32",1985-10-15,"ATMP",6.4
"33",1985-10-16,"ATMP",4.7
"34",1985-10-17,"ATMP",3.1
"35",1985-10-18,"ATMP",6.3
"36",1985-10-19,"ATMP",7.4
"37",1985-10-20,"ATMP",4.9
"38",1985-10-21,"ATMP",4.6
"39",1985-10-22,"ATMP",3.2
"40",1985-10-23,"ATMP",1.9
"41",1985-10-24,"ATMP",2.2
"42",1985-10-25,"ATMP",3.2
"43",1985-10-26,"ATMP",6.2
"44",1985-10-27,"ATMP",5.7
"45",1985-10-28,"ATMP",1.6
"46",1985-10-29,"ATMP",2.5
"47",1985-10-30,"ATMP",2.1
"48",1985-10-31,"ATMP",2
"49",1985-11-01,"ATMP",1.6
"50",1985-11-02,"ATMP",3.3
"51",1985-11-03,"ATMP",4.1
"52",1985-11-04,"ATMP",5.1
"53",1985-11-05,"ATMP",3.3
"54",1985-11-06,"ATMP",1.8
"55",1985-11-07,"ATMP",2.8
"56",1985-11-08,"ATMP",2.4
"57",1985-11-09,"ATMP",4.7
