"","Year","Commodity","Data","Region","Geo","label","Type","Name","Value"
"1",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","HERBICIDE","PARAQUAT","(D)"
"2",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ABAMECTIN","(D)"
"3",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","200"
"4",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","1700"
"5",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"6",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORPYRIFOS","(D)"
"7",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CYFLUTHRIN","(D)"
"8",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","(Z)"
"9",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","1300"
"10",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","300"
"11",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","800"
"12",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","600"
"13",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","6000"
"14",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
