"","Year","Name","Commodity","VALUES","Value","Data","ValueVeg","safe1"
"1",2016,"ZETACYPERMETHRIN","BROCCOLI",57.5,800,"BROCCOLI - APPLICATIONS, MEASURED IN LB",362.8736,"no"
"2",2016,"ZETACYPERMETHRIN","CAULIFLOWER",57.5,100,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",45.3592,"yes"
"3",2016,"PERMETHRIN","BROCCOLI",470,2600,"BROCCOLI - APPLICATIONS, MEASURED IN LB",1179.3392,"no"
"4",2016,"PERMETHRIN","CAULIFLOWER",470,200,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",90.7184,"yes"
"5",2016,"NALED","BROCCOLI",430,6000,"BROCCOLI - APPLICATIONS, MEASURED IN LB",2721.552,"no"
"6",2016,"METHOMYL","BROCCOLI",45,600,"BROCCOLI - APPLICATIONS, MEASURED IN LB",272.1552,"no"
"7",2016,"METHOMYL","CAULIFLOWER",45,300,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",136.0776,"no"
"8",2016,"LAMBDACYHALOTHRIN","BROCCOLI",56,800,"BROCCOLI - APPLICATIONS, MEASURED IN LB",362.8736,"no"
"9",2016,"LAMBDACYHALOTHRIN","CAULIFLOWER",56,200,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",90.7184,"no"
"10",2016,"IMIDACLOPRID","BROCCOLI",450,300,"BROCCOLI - APPLICATIONS, MEASURED IN LB",136.0776,"yes"
"11",2016,"ESFENVALERATE","BROCCOLI",325,1300,"BROCCOLI - APPLICATIONS, MEASURED IN LB",589.6696,"no"
"12",2016,"ESFENVALERATE","CAULIFLOWER",325,400,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",181.4368,"yes"
"13",2016,"BIFENTHRIN","BROCCOLI",54.5,1700,"BROCCOLI - APPLICATIONS, MEASURED IN LB",771.1064,"no"
"14",2016,"BIFENTHRIN","CAULIFLOWER",54.5,200,"CAULIFLOWER - APPLICATIONS, MEASURED IN LB",90.7184,"no"
"15",2016,"BETACYFLUTHRIN","BROCCOLI",960,200,"BROCCOLI - APPLICATIONS, MEASURED IN LB",90.7184,"yes"
